"gene"	"Sample1"	"Sample2"	"Sample3"	"Sample4"	"Sample5"
"10_GL0000131"	3.87768578413862e-05	4.17906939532059e-05	2.62348034532385e-05	2.59538765115208e-05	4.7290101489643e-05
"10_GL0000704"	2.48145625653834e-06	1.66782271799279e-06	3.7186467201446e-06	3.26778469023519e-06	0
"10_GL0000737"	4.88922888916898e-05	5.07716040740542e-05	3.06750559018952e-05	3.15884623280352e-05	6.15018344272334e-05
"10_GL0002188"	4.75023577821246e-06	6.46041673521346e-07	2.67372886365373e-06	1.76216730924385e-06	1.59718402903782e-06
"10_GL0002472"	2.71346839060718e-06	1.30470242007114e-05	1.60508882419977e-05	2.85908536574683e-05	5.97851893671875e-06
"10_GL0003279"	2.33899662220308e-06	6.99824372305284e-06	6.67388216119463e-06	8.36098089603926e-06	4.58322886724561e-06
"10_GL0003280"	2.26754244750673e-06	6.24506951070635e-06	7.1370473288378e-06	7.95613264173572e-06	5.09028569733505e-06
"10_GL0005452"	0	0	0	8.04811388188246e-06	0
"10_GL0005949"	4.70581360268393e-06	2.62950295187636e-06	5.3257245115899e-06	3.21001002901794e-06	1.33157536255475e-06
"10_GL0005950"	4.45505398510146e-06	3.04906334934486e-06	6.49027490535724e-06	4.82322095151753e-06	1.82308332726246e-06
"10_GL0006203"	2.03328816974669e-06	1.01723812648619e-05	1.41832786209729e-05	2.22124405322351e-05	5.2947280137873e-06
"10_GL0006204"	3.02816169441871e-06	1.21116499601578e-05	2.16018751993995e-05	2.82928156678268e-05	8.40775514275733e-06
"10_GL0006205"	1.59376931285195e-06	8.45292236802677e-06	1.25552300123898e-05	1.69273256132297e-05	5.63498482972034e-06
"10_GL0006206"	1.4114787652478e-06	9.97614937812516e-06	1.34474871130997e-05	1.95803806637012e-05	5.14889987635788e-06
"10_GL0006592"	1.89816892480767e-05	1.26789748165528e-05	7.56099806988928e-06	6.59256919324257e-06	1.26226442035698e-05
"10_GL0007203"	2.11165901997248e-05	3.18271208468546e-06	1.07630778230645e-05	9.7400732574136e-06	1.37659800704028e-05
"10_GL0008973"	1.42193807645735e-05	3.06644131663425e-06	7.01469794605772e-06	7.13184862930364e-06	1.11880237722677e-05
"10_GL0008998"	1.89339794366812e-05	2.6541545420502e-06	9.02428655822048e-06	1.0773033658134e-05	1.04045969891622e-05
"10_GL0009139"	2.46536190581787e-06	9.75792111047867e-08	1.27702168276705e-06	1.58977059191214e-06	6.91795012577273e-07
"10_GL0009482"	3.46353282378315e-06	9.29144488178262e-06	1.02992317829668e-05	1.26999177270686e-05	6.26327582118741e-06
"10_GL0010881"	3.895880542527e-06	1.21046409034679e-05	2.04323469242728e-05	3.14767650093628e-05	6.44992090738712e-06
"10_GL0011129"	6.14608740760725e-06	1.32398663956227e-05	0	3.36322889852347e-06	5.54142824889484e-06
"10_GL0011579"	5.48296487853894e-06	1.38172162924378e-05	0	3.81544942058914e-06	6.53054491872946e-06
"10_GL0012335"	1.51841536626105e-05	8.83193930802822e-06	3.5127298431409e-05	1.59600498639023e-05	4.76711408387977e-06
"10_GL0012336"	1.39205866606683e-05	8.31368751189793e-06	3.46847375313139e-05	1.66866455405948e-05	4.97658000884474e-06
"10_GL0012817"	4.25395779827397e-06	8.26553317593487e-06	6.94432705922997e-06	9.91635451102752e-06	5.9033174406594e-06
"10_GL0012818"	4.62193100727067e-06	9.08373747011833e-06	6.32921184186228e-06	1.08818521799334e-05	9.65997399380629e-06
"10_GL0012819"	3.22738285852521e-06	6.18198800049719e-06	5.81324348518872e-06	7.16388601845614e-06	5.23248591331174e-06
"10_GL0013307"	6.02115054882966e-06	4.70031208690864e-05	3.78585554504916e-05	3.35986566962495e-05	3.22443269862224e-05
"10_GL0013728"	5.72487578837706e-06	4.58708645476661e-05	3.16631059514788e-05	3.62985204869282e-05	3.03524551594966e-05
"10_GL0013729"	5.52241066903202e-06	4.774355640935e-05	3.85490278637947e-05	3.89923968237463e-05	3.31618857229042e-05
"10_GL0014495"	4.0982639473336e-06	7.98071220588967e-06	4.84715416212186e-06	2.76709955432592e-06	6.53198241485949e-06
"10_GL0016161"	8.92346931463125e-07	8.02708163329865e-07	2.41616441778033e-06	2.92327391466076e-06	0
"10_GL0016167"	8.01438283034126e-07	5.94768524829176e-07	1.98918086458529e-06	2.6220081919268e-06	0
"10_GL0016619"	5.01622769276236e-06	4.11524811688164e-06	6.22025205016397e-06	3.87469418661211e-06	1.33080566581339e-06
"10_GL0019366"	7.73182446132281e-06	1.51945565873026e-05	0	3.64898575948193e-06	7.06379864694287e-06
"10_GL0020438"	8.72694479935528e-07	7.18459324240553e-07	2.23007916282623e-06	2.96602696585795e-06	0
"10_GL0020862"	0	0	0	1.1526702679485e-05	0
"10_GL0020864"	0	0	0	1.10898875892556e-05	0
"10_GL0021566"	2.51018666774183e-06	1.02192046538831e-05	1.66141810848885e-05	2.97437292918179e-05	7.51331310629378e-06
"10_GL0021709"	2.22030197985034e-06	1.00220277177802e-05	1.37439139989619e-05	1.98544931690162e-05	5.51447617211297e-06
"10_GL0021710"	2.28785584859898e-06	1.03043646926655e-05	1.49837210778e-05	1.9930112267548e-05	6.28703307430226e-06
"10_GL0022899"	5.57500505635614e-06	2.13442597943697e-05	6.11456900548608e-06	8.80462750825276e-06	2.1173231887165e-05
"10_GL0023780"	4.45486983108422e-05	4.44837292528488e-05	2.91620401207544e-05	2.66475832549083e-05	5.53787398004715e-05
"10_GL0023782"	4.64086286584016e-05	4.56342261310714e-05	2.98554840902616e-05	2.76880317110555e-05	5.82938156664723e-05
"10_GL0024333"	2.02029233848186e-05	1.42744445959002e-05	8.10807417629872e-06	6.69752092503042e-06	1.26733918071299e-05
"10_GL0024933"	5.0193339207144e-05	5.33998697292282e-05	3.13888228112017e-05	3.79918578282022e-05	5.86481754430727e-05
"10_GL0024934"	3.94762505629647e-05	4.61025980867588e-05	2.60597886769039e-05	2.90700908235363e-05	5.47367445318284e-05
"10_GL0025525"	1.62018951555494e-05	8.77383367499684e-06	3.90362959134876e-05	1.8209452864855e-05	6.4976111427392e-06
"10_GL0025696"	3.5062924882743e-06	1.58825224593273e-05	2.08527655852661e-05	3.1772321488324e-05	7.43380714749702e-06
"10_GL0025698"	3.17886664561927e-06	1.47310169046662e-05	2.27760573067629e-05	2.72318350802833e-05	8.54244759060125e-06
"10_GL0026174"	0	0	0	1.06562528054713e-05	0
"10_GL0026199"	0	0	0	7.57617751636657e-06	0
"10_GL0026200"	0	0	0	8.81489167075581e-06	0
"10_GL0026286"	6.40505905036246e-06	1.7313063990077e-06	1.21380278758056e-06	3.08139576580292e-06	8.76730312969218e-07
"10_GL0027736"	5.65843063624956e-06	8.61388898028462e-07	3.66373117262822e-06	1.81614360520267e-06	2.56488964663133e-06
"10_GL0028758"	1.71943189328836e-06	1.60129987454009e-07	2.09562532556644e-06	1.76481320610458e-06	2.72460804953511e-06
"10_GL0028885"	3.73800508413283e-06	6.91474030611875e-06	3.80452677559194e-06	2.38803738612004e-06	5.65305211275115e-06
"10_GL0028886"	4.52100750637087e-06	7.30082624747332e-06	4.9958747016369e-06	2.7095500127112e-06	6.54608552875412e-06
"10_GL0029373"	3.09971176357015e-05	2.51574431353277e-05	1.53604877586732e-05	1.06117352818499e-05	1.909157980809e-05
"10_GL0029374"	1.90125687510736e-05	1.54332177563433e-05	8.32428948766669e-06	6.76467630725743e-06	1.33333549090755e-05
"10_GL0029404"	2.40278926861437e-06	1.87035076716586e-06	4.32156237823028e-06	2.64313008532899e-06	0
"10_GL0029787"	9.05020400747027e-06	4.94892300848428e-07	2.15888948633826e-06	1.98747790758028e-06	1.15950065202386e-05
"10_GL0030569"	1.52511170880189e-05	8.88320149971595e-06	3.56631417278079e-05	1.38555325489128e-05	5.32566585338724e-06
"10_GL0032447"	1.37202749541168e-05	8.59828410894352e-06	3.39552045504823e-05	2.19450685628656e-05	3.59332365953181e-06
"10_GL0032448"	1.49863543803847e-05	7.76414047277006e-06	3.31598320096628e-05	1.69845125240852e-05	4.82066269768132e-06
"10_GL0032940"	2.02657272258056e-06	9.83168741318541e-06	1.28217663267914e-05	2.07114592041191e-05	6.82401832589986e-06
"10_GL0033546"	2.75298746149662e-06	1.20022429658888e-05	1.50759504215554e-05	2.61532848355742e-05	8.67049749096849e-06
"10_GL0033846"	1.30209405511157e-06	6.06317428223917e-08	2.24821940267079e-06	1.56888839681564e-06	4.298532116985e-07
"10_GL0034109"	6.47194406892547e-06	2.41575742749479e-05	7.17783045643116e-06	9.60470066659988e-06	2.60877141988421e-05
"10_GL0034110"	7.35796790245093e-06	2.55720801410968e-05	7.64302254025167e-06	8.38798131874665e-06	2.97226880615744e-05
"10_GL0034365"	4.36286327064467e-05	4.8703159539871e-05	2.97724130425272e-05	2.74748509402076e-05	5.14658346001111e-05
"10_GL0034671"	2.53232235264255e-06	1.20275412798789e-05	1.9171090941293e-05	3.05900955724794e-05	8.96429685433464e-06
"10_GL0034933"	0	0	0	9.54082392599453e-06	0
"10_GL0034934"	0	0	0	8.18539322064106e-06	0
"10_GL0035122"	1.37859422578687e-05	2.89995081148889e-06	7.51821590832033e-06	6.53354383430623e-06	1.06403990529197e-05
"10_GL0035139"	2.02302892321386e-05	4.40523575444016e-06	1.05129087909121e-05	9.83430458418875e-06	1.34478061200083e-05
"10_GL0035145"	1.53012180832791e-05	2.83253692710223e-06	8.56128575228709e-06	7.26475271882809e-06	1.28138963884723e-05
"10_GL0035157"	1.61469684448333e-05	2.97662191631798e-06	8.33843441457861e-06	7.32745279966542e-06	1.18342204768359e-05
"10_GL0038117"	3.94457904930859e-06	7.72748500062149e-06	9.14983885834438e-06	9.43093855594226e-06	6.43998266253753e-06
