"gene"	"superkingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"36_GL0110038"	"Bacteria"	"Actinobacteria"	"Actinobacteria (class)"	"Coriobacteriales"	"Coriobacteriaceae"	"Eggerthella"	"Eggerthella lenta"
"36_GL0118181"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanothermobacter"	"Methanothermobacter thermautotrophicus"
"39_GL0024070"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	"Acidaminococcus intestini"
"39_GL0126084"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Unknown"	"Unknown"
"39_GL0138974"	"Bacteria"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family III. Incertae Sedis"	"Caldicellulosiruptor"	"Caldicellulosiruptor saccharolyticus"
"39_GL0173546"	"Bacteria"	"Firmicutes"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"42_GL0006579"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Unknown"	"Unknown"
"42_GL0026499"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	"Roseburia intestinalis"
"42_GL0061707"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Unknown"	"Unknown"
"45_GL0014782"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium hylemonae"
"45_GL0019719"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	"Unknown"
"45_GL0020528"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"[Ruminococcus] obeum"
"45_GL0020529"	"Bacteria"	"Firmicutes"	"Clostridia"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"45_GL0020532"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	"[Ruminococcus] obeum"
"45_GL0027082"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Roseburia"	"Unknown"
