"gene"	"KO"
"1_GL0010491"	"K01908"
"1_GL0013014"	"K13922"
"1_GL0015773"	"K01895"
"1_GL0015793"	"K00016"
"1_GL0015795"	"K01902"
"1_GL0015796"	"K01903"
"1_GL0015797"	"K00382"
"1_GL0015985"	"K01848"
"1_GL0018144"	"K00656"
"1_GL0022148"	"K00656"
"1_GL0023232"	"K01966"
"1_GL0028424"	"K00005"
"1_GL0035649"	"K00626"
"1_GL0035651"	"K01035"
"1_GL0035652"	"K01034"
"1_GL0035916"	"K00048"
"1_GL0042875"	"K01966"
"1_GL0043183"	"K00925"
"1_GL0044197"	"K00925"
"1_GL0047958"	"K00656"
"1_GL0051542"	"K00656"
"1_GL0055809"	"K00925"
"1_GL0056697"	"K01847"
"1_GL0060173"	"K01026"
"1_GL0070438"	"K00656"
"1_GL0070533"	"K01734"
"1_GL0080019"	"K01961"
"1_GL0081307"	"K00382"
"1_GL0089373"	"K01962;K01963"
"1_GL0089857"	"K01734"
"1_GL0093043"	"K00005"
"1_GL0098658"	"K00656"
"1_GL0100230"	"K00248"
"1_GL0111825"	"K00823"
"1_GL0117466"	"K00171"
"10_GL0000131"	"K00656"
"10_GL0000704"	"K00625"
"10_GL0000737"	"K00048"
"10_GL0002188"	"K00656"
"10_GL0002472"	"K01734"
"10_GL0003279"	"K00925"
"10_GL0003280"	"K00625"
"10_GL0005452"	"K01962;K01963"
"10_GL0005949"	"K00925"
"10_GL0005950"	"K00625"
"10_GL0006203"	"K00172"
"10_GL0006204"	"K00171"
"10_GL0006205"	"K00169"
"10_GL0006206"	"K00170"
"10_GL0006592"	"K00382"
"10_GL0007203"	"K07250"
"10_GL0008973"	"K00625"
"10_GL0008998"	"K00656"
"10_GL0009139"	"K01962;K01963"
"10_GL0009482"	"K00656"
"10_GL0010881"	"K01734"
"10_GL0011129"	"K00656"
"10_GL0011579"	"K00656"
"10_GL0012335"	"K01847"
"10_GL0012336"	"K01847"
"10_GL0012817"	"K00172"
"10_GL0012818"	"K00171"
"10_GL0012819"	"K00169"
"10_GL0013307"	"K00382"
"10_GL0013728"	"K00625"
"10_GL0013729"	"K00925"
"10_GL0014495"	"K00048"
"10_GL0016161"	"K00925"
"10_GL0016167"	"K00016"
"10_GL0016619"	"K01734"
"10_GL0019366"	"K00625"
"10_GL0020438"	"K01966"
"10_GL0020862"	"K00656"
"10_GL0020864"	"K00656"
"10_GL0021566"	"K01734"
"10_GL0021709"	"K00625"
"10_GL0021710"	"K00925"
"10_GL0022899"	"K00382"
"10_GL0023780"	"K01961"
"10_GL0023782"	"K01966"
"10_GL0024333"	"K00656"
"10_GL0024933"	"K05606"
"10_GL0024934"	"K01966"
"10_GL0025525"	"K00382"
"10_GL0025696"	"K00656"
"10_GL0025698"	"K00656"
"10_GL0026174"	"K00656"
"10_GL0026199"	"K00169"
"10_GL0026200"	"K00172"
"10_GL0026286"	"K00171"
"10_GL0027736"	"K11263"
"10_GL0028758"	"K02160"
"10_GL0028885"	"K00925"
"10_GL0028886"	"K00625"
"10_GL0029373"	"K05606"
"10_GL0029374"	"K01966"
"10_GL0029404"	"K00925"
"10_GL0029787"	"K01966"
"10_GL0030569"	"K00048"
"10_GL0032447"	"K05606"
"10_GL0032448"	"K01966"
"10_GL0032940"	"K01966"
"10_GL0033546"	"K00086"
"10_GL0033846"	"K01966"
"10_GL0034109"	"K00625"
"10_GL0034110"	"K00925"
"10_GL0034365"	"K00382"
"10_GL0034671"	"K00656"
"10_GL0034933"	"K00625"
"10_GL0034934"	"K00925"
"10_GL0035122"	"K01966"
"10_GL0035139"	"K15024"
"10_GL0035145"	"K13922"
"10_GL0035157"	"K00656"
"10_GL0038117"	"K00626"
"10_GL0038120"	"K00248"
"10_GL0038420"	"K00656"
"10_GL0038468"	"K05606"
"10_GL0040776"	"K00626"
"10_GL0040779"	"K00248"
